,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date
0,1:22 AM,63,48,58,21,33,29.02,0.0,ENE,Cloudy / Windy,2017-09-11
1,2:22 AM,63,49,60,21,31,29.01,0.0,ENE,Cloudy / Windy,2017-09-11
2,3:22 AM,62,51,67,18,29,28.98,0.0,ENE,Light Rain,2017-09-11
3,4:22 AM,60,53,78,17,25,28.97,0.0,ENE,Light Rain,2017-09-11
4,5:18 AM,57,54,88,17,26,28.95,0.0,NE,Light Rain,2017-09-11
5,5:22 AM,58,54,87,18,26,28.95,0.0,NE,Light Rain,2017-09-11
6,6:22 AM,58,55,90,20,0,28.94,0.1,NE,Light Rain,2017-09-11
7,6:22 AM,57,55,93,22,0,28.91,0.1,NE,Light Rain / Windy,2017-09-11
8,7:18 AM,57,55,94,22,30,28.90,0.1,NE,Light Rain / Windy,2017-09-11
9,7:22 AM,57,54,89,22,31,28.89,0.1,NE,Light Rain / Windy,2017-09-11
10,8:14 AM,58,55,90,22,29,28.87,0.1,NE,Rain / Windy,2017-09-11
11,8:22 AM,58,55,90,22,29,28.87,0.1,NE,Rain / Windy,2017-09-11
12,9:22 AM,58,56,93,26,36,28.80,0.1,NNE,Rain / Windy,2017-09-11
13,10:22 AM,59,57,93,29,37,28.78,0.1,NE,Light Rain / Windy,2017-09-11
14,10:47 AM,60,57,90,28,37,28.75,0.0,NE,Light Rain / Windy,2017-09-11
15,11:22 AM,60,57,90,30,41,28.75,0.0,NE,Light Rain / Windy,2017-09-11
16,11:51 AM,60,57,90,31,51,28.72,0.0,NE,Light Rain / Windy,2017-09-11
17,12:22 PM,61,57,87,33,45,28.67,0.1,NNE,Light Rain / Windy,2017-09-11
18,12:56 PM,61,58,90,33,61,28.64,0.1,NNE,Rain / Windy,2017-09-11
19,1:01 PM,61,58,90,33,61,28.64,0.1,NNE,Rain / Windy,2017-09-11
20,1:15 PM,61,58,90,33,51,28.63,0.1,NNE,Rain / Windy,2017-09-11
21,1:22 PM,61,58,90,38,53,28.61,0.1,NNE,Heavy Rain / Windy,2017-09-11
22,1:48 PM,61,58,90,36,52,28.58,0.1,NNE,Rain / Windy,2017-09-11
23,1:54 PM,61,58,90,40,55,28.56,0.1,NNE,Heavy Rain / Windy,2017-09-11
24,2:10 PM,61,58,90,39,56,28.55,0.2,NNE,Rain / Windy,2017-09-11
25,2:22 PM,61,58,90,43,59,28.54,0.3,NNE,Heavy Rain / Windy,2017-09-11
26,2:29 PM,61,59,93,38,56,28.52,0.1,NNE,Heavy Rain / Windy,2017-09-11
27,3:09 PM,61,59,93,38,49,28.49,0.3,NNE,Heavy Rain / Windy,2017-09-11
28,3:22 PM,61,59,93,31,49,28.49,0.4,NE,Heavy Rain / Windy,2017-09-11
29,3:35 PM,61,59,93,33,47,28.48,0.1,NNE,Heavy Rain / Windy,2017-09-11
30,4:07 PM,61,59,93,35,46,28.47,0.4,NE,Heavy Rain / Windy,2017-09-11
31,4:22 PM,61,59,93,29,49,28.47,0.5,NE,Heavy Rain / Windy,2017-09-11
32,4:29 PM,61,60,97,30,41,28.47,0.0,NE,Heavy Rain / Windy,2017-09-11
33,5:16 PM,63,61,94,30,43,28.47,0.3,NE,Heavy Rain / Windy,2017-09-11
34,5:22 PM,61,60,97,28,44,28.47,0.3,NE,Heavy Rain / Windy,2017-09-11
35,6:22 PM,61,59,93,26,35,28.45,0.4,NE,Heavy Rain / Windy,2017-09-11
36,7:22 PM,61,59,93,26,35,28.43,0.3,NE,Rain / Windy,2017-09-11
37,9:22 PM,61,60,97,24,38,28.43,0.2,NE,Rain / Windy,2017-09-11
38,10:22 PM,62,61,96,22,29,28.42,0.2,ENE,Rain / Windy,2017-09-11
39,11:22 PM,63,62,97,16,32,28.42,0.1,E,Rain,2017-09-11
40,12:22 AM,63,63,100,15,24,28.43,0.1,E,Rain,2017-09-11
41,12:29 AM,64,63,96,16,0,28.43,0.0,ENE,Light Rain,2017-09-11
