,Unnamed: 0,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date,time
0,0,2:22 AM,52,49,89,0,0,28.97,0.0,CALM,Mostly Cloudy,2016-12-13,2016-12-13 02:22:00
1,1,3:05 AM,51,49,92,0,0,28.96,0.0,CALM,Cloudy,2016-12-13,2016-12-13 03:05:00
2,2,3:22 AM,52,49,89,0,0,28.96,0.0,CALM,Cloudy,2016-12-13,2016-12-13 03:22:00
3,3,3:42 AM,51,49,92,0,0,28.96,0.0,CALM,Mostly Cloudy,2016-12-13,2016-12-13 03:42:00
4,4,4:22 AM,51,49,92,0,0,28.96,0.0,CALM,Cloudy,2016-12-13,2016-12-13 04:22:00
5,5,4:37 AM,51,49,92,0,0,28.96,0.0,CALM,Cloudy,2016-12-13,2016-12-13 04:37:00
6,6,5:22 AM,52,49,89,5,0,28.95,0.0,E,Mostly Cloudy,2016-12-13,2016-12-13 05:22:00
7,7,5:55 AM,53,48,83,5,0,28.95,0.0,ESE,Mostly Cloudy,2016-12-13,2016-12-13 05:55:00
8,8,6:07 AM,53,49,86,0,0,28.95,0.0,CALM,Cloudy,2016-12-13,2016-12-13 06:07:00
9,9,6:22 AM,53,49,86,3,0,28.95,0.0,E,Light Rain,2016-12-13,2016-12-13 06:22:00
10,10,6:11 AM,52,49,89,5,0,28.95,0.0,E,Light Rain,2016-12-13,2016-12-13 06:11:00
11,11,6:18 AM,52,50,94,7,0,28.95,0.0,E,Light Rain,2016-12-13,2016-12-13 06:18:00
12,12,6:22 AM,52,50,93,7,0,28.96,0.0,E,Light Rain,2016-12-13,2016-12-13 06:22:00
13,13,7:22 AM,51,50,96,7,0,28.96,0.0,E,Cloudy,2016-12-13,2016-12-13 07:22:00
14,14,8:15 AM,51,50,96,8,0,28.95,0.0,ESE,Cloudy,2016-12-13,2016-12-13 08:15:00
15,15,8:18 AM,52,50,94,6,0,28.96,0.0,ESE,Light Drizzle,2016-12-13,2016-12-13 08:18:00
16,16,8:22 AM,51,50,96,7,0,28.96,0.0,ESE,Light Drizzle,2016-12-13,2016-12-13 08:22:00
17,17,8:27 AM,51,51,100,6,0,28.96,0.0,E,Light Rain,2016-12-13,2016-12-13 08:27:00
18,18,9:22 AM,51,51,100,6,0,28.97,0.0,E,Drizzle and Fog,2016-12-13,2016-12-13 09:22:00
19,19,10:22 AM,52,52,100,7,0,28.98,0.0,VAR,Drizzle and Fog,2016-12-13,2016-12-13 10:22:00
20,20,11:10 AM,52,52,100,10,0,28.99,0.0,ENE,Drizzle and Fog,2016-12-13,2016-12-13 11:10:00
21,21,11:22 AM,52,52,100,9,0,28.98,0.0,NE,Drizzle and Fog,2016-12-13,2016-12-13 11:22:00
22,22,12:22 PM,51,51,100,9,0,28.96,0.0,E,Light Drizzle,2016-12-13,2016-12-13 00:22:00
23,23,1:22 PM,52,52,100,8,0,28.94,0.0,NE,Light Drizzle,2016-12-13,2016-12-13 13:22:00
24,24,2:22 PM,52,52,100,6,0,28.92,0.0,E,Drizzle and Fog,2016-12-13,2016-12-13 14:22:00
25,25,3:22 PM,53,53,100,5,0,28.9,0.0,E,Drizzle and Fog,2016-12-13,2016-12-13 15:22:00
26,26,4:22 PM,53,53,100,3,0,28.91,0.0,SE,Fog,2016-12-13,2016-12-13 16:22:00
27,27,5:22 PM,53,53,100,5,0,28.9,0.0,E,Light Drizzle,2016-12-13,2016-12-13 17:22:00
28,28,6:22 PM,53,53,100,3,0,28.89,0.0,SE,Light Drizzle,2016-12-13,2016-12-13 18:22:00
29,29,7:22 PM,53,53,100,0,0,28.9,0.0,CALM,Drizzle and Fog,2016-12-13,2016-12-13 19:22:00
30,30,9:22 PM,53,53,100,5,0,28.9,0.0,SE,Fog,2016-12-13,2016-12-13 21:22:00
31,31,10:22 PM,54,54,100,3,0,28.9,0.0,E,Light Rain,2016-12-13,2016-12-13 22:22:00
32,32,11:22 PM,53,53,100,8,0,28.91,0.0,N,Drizzle and Fog,2016-12-13,2016-12-13 23:22:00
33,33,12:22 AM,53,52,96,5,0,28.92,0.0,NNW,Fog,2016-12-13,2016-12-13 12:22:00
34,34,1:22 AM,52,52,100,3,0,28.92,0.0,N,Fog,2016-12-13,2016-12-13 01:22:00
