,Unnamed: 0,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date,time
0,0,1:22 AM,78,72,81,7,0,29.04,0.0,E,Cloudy,2018-07-14,2018-07-14 01:22:00
1,1,2:22 AM,77,72,84,8,0,29.04,0.0,E,Mostly Cloudy,2018-07-14,2018-07-14 02:22:00
2,2,3:22 AM,76,72,87,8,0,29.03,0.0,E,Mostly Cloudy,2018-07-14,2018-07-14 03:22:00
3,3,3:51 AM,76,72,87,7,0,29.03,0.0,E,Mostly Cloudy,2018-07-14,2018-07-14 03:51:00
4,4,4:22 AM,77,72,84,8,0,29.03,0.0,E,Cloudy,2018-07-14,2018-07-14 04:22:00
5,5,4:43 AM,77,72,84,10,0,29.03,0.0,E,Mostly Cloudy,2018-07-14,2018-07-14 04:43:00
6,6,5:22 AM,76,72,87,9,0,29.01,0.0,E,Mostly Cloudy,2018-07-14,2018-07-14 05:22:00
7,7,6:22 AM,76,72,87,7,0,29.02,0.0,E,Mostly Cloudy,2018-07-14,2018-07-14 06:22:00
8,8,6:22 AM,76,72,87,8,0,29.03,0.0,E,Cloudy,2018-07-14,2018-07-14 06:22:00
9,9,7:22 AM,76,72,87,5,0,29.05,0.0,ESE,Cloudy,2018-07-14,2018-07-14 07:22:00
10,10,8:16 AM,77,72,83,7,0,29.06,0.0,E,Cloudy,2018-07-14,2018-07-14 08:16:00
11,11,8:22 AM,77,72,84,9,0,29.06,0.0,E,Cloudy,2018-07-14,2018-07-14 08:22:00
12,12,9:22 AM,78,72,81,5,0,29.07,0.0,E,Cloudy,2018-07-14,2018-07-14 09:22:00
13,13,9:41 AM,81,73,77,5,0,29.06,0.0,E,Mostly Cloudy,2018-07-14,2018-07-14 09:41:00
14,14,10:22 AM,81,73,77,7,0,29.07,0.0,SE,Mostly Cloudy,2018-07-14,2018-07-14 10:22:00
15,15,10:43 AM,81,72,74,3,0,29.07,0.0,ESE,Cloudy,2018-07-14,2018-07-14 10:43:00
16,16,11:20 AM,82,72,70,0,0,29.07,0.0,CALM,Cloudy,2018-07-14,2018-07-14 11:20:00
17,17,11:22 AM,83,73,72,5,0,29.07,0.0,VAR,Cloudy,2018-07-14,2018-07-14 11:22:00
18,18,12:22 PM,84,72,67,6,0,29.06,0.0,VAR,Mostly Cloudy,2018-07-14,2018-07-14 00:22:00
19,19,1:22 PM,85,72,65,5,0,29.03,0.0,ESE,Mostly Cloudy,2018-07-14,2018-07-14 13:22:00
20,20,1:45 PM,86,72,63,6,0,29.03,0.0,E,Mostly Cloudy,2018-07-14,2018-07-14 13:45:00
21,21,2:22 PM,86,71,61,5,0,29.01,0.0,VAR,Mostly Cloudy,2018-07-14,2018-07-14 14:22:00
22,22,3:22 PM,86,71,61,3,0,28.99,0.0,SE,Mostly Cloudy,2018-07-14,2018-07-14 15:22:00
23,23,4:22 PM,82,74,76,7,0,28.98,0.1,WSW,Light Rain,2018-07-14,2018-07-14 16:22:00
24,24,4:39 PM,82,74,76,9,0,28.99,0.1,N,Heavy Rain,2018-07-14,2018-07-14 16:39:00
25,25,4:45 PM,79,75,88,21,0,28.99,0.2,NE,Heavy Rain / Windy,2018-07-14,2018-07-14 16:45:00
26,26,4:54 PM,78,73,84,8,0,28.99,0.3,N,Heavy T-Storm,2018-07-14,2018-07-14 16:54:00
27,27,5:22 PM,75,73,94,12,0,29.01,1.6,NNE,Heavy T-Storm,2018-07-14,2018-07-14 17:22:00
28,28,5:35 PM,75,73,94,16,0,29.01,0.7,ENE,Heavy T-Storm,2018-07-14,2018-07-14 17:35:00
29,29,5:50 PM,76,73,91,9,0,29.01,1.2,E,Heavy T-Storm,2018-07-14,2018-07-14 17:50:00
30,30,6:14 PM,76,73,91,7,0,29.01,1.4,NE,T-Storm,2018-07-14,2018-07-14 18:14:00
31,31,6:22 PM,76,72,87,7,0,29.01,1.4,ENE,T-Storm,2018-07-14,2018-07-14 18:22:00
32,32,6:44 PM,77,72,84,7,0,28.99,0.0,E,Light Rain,2018-07-14,2018-07-14 18:44:00
33,33,7:22 PM,76,73,91,5,0,28.99,0.0,E,Mostly Cloudy,2018-07-14,2018-07-14 19:22:00
34,34,9:22 PM,77,74,90,5,0,29.02,0.0,S,Cloudy,2018-07-14,2018-07-14 21:22:00
35,35,10:22 PM,76,73,91,6,0,29.03,0.0,ESE,Cloudy,2018-07-14,2018-07-14 22:22:00
36,36,11:22 PM,76,72,87,5,0,29.02,0.0,E,Mostly Cloudy,2018-07-14,2018-07-14 23:22:00
37,37,12:22 AM,75,72,90,0,0,29.02,0.0,CALM,Mostly Cloudy,2018-07-14,2018-07-14 12:22:00
